screen_name	id	description	url
calliecoonan48	797538548731834373	cute  toy robot fanf fun funny	http://twitter.com/calliecoonan48
LAStory	3532201	Lifestyle Blogger/Writer, Podcast/Vlogger Digital/Social Media Pioneer/Visionary, Influencer (2001), Innovation/ Disruption,	http://twitter.com/LAStory
Taylonredhead20	2956071652	I am a young singer, musician, and songwriter from North Carolina. Nashville Recording Artist and spokesmodel for Confidently Ready.	http://twitter.com/Taylonredhead20
DonnaKozik	14737374	I get people between the covers. (Book covers, that is!) Hit me up when ready to write your Great American @realDonaldTrump book. Meanwhile, @ me hello, OK?	http://twitter.com/DonnaKozik
ICEHouseBarBR	2157220729	Coolest bar & grill in Baton Rouge serving up daily lunch specials and variety of menu items for dinner. Lots of TV's & large patio for dining outdoors.	http://twitter.com/ICEHouseBarBR
CBECKTV	22088337	News Junkie. E.W. Scripps Strategist.  Mom, Wife, Friend to many.	http://twitter.com/CBECKTV
DAnthonyTrains	3432208187	Inspirational Speaker • NF & Cancer Thriver • Plant-Based Health Enthusiast • #Train2Live #Eat2live #FoodChoices danthonytrains@gmail.com	http://twitter.com/DAnthonyTrains
tarabrae	892205358	lawyer ~ writer ~ newshound ~ style & wellness bon vivant ~ diet coke habitué ~ believer of Jesus Christ #perpetualoptimism	http://twitter.com/tarabrae
HeavenInWA	1140132271	coffee, tacos, & progressive house   #PackerNation	http://twitter.com/HeavenInWA
MaverickMarv3ls	722270495136043008	#CMO-On-Demand. Helping tech #SMB and #startups make sense of marketing. Follow for insightful, curated #marketing news.	http://twitter.com/MaverickMarv3ls
reinholdres	125385432	Spaces of distinction. With apartments for rent in Philly, West Chester, and Pittsburgh, our residences provide inspired urban lifestyles.	http://twitter.com/reinholdres
Sunny2011_PSN	3025772226	playstation gaming live streaming Twitch - https://t.co/MQFHDPBKH3 PSN Profile: https://t.co/IfgJGi9Df6 #TmobileTuesdays #Tmobile BEST	http://twitter.com/Sunny2011_PSN
ourhometowninc	190136822	We develop digital business models and technology for the newspaper industry. Follow us to find out what we're up to!	http://twitter.com/ourhometowninc
jeremy_1988	58061867	Marketing   Public Relations   Social Pro   Lover of the arts   @NBPRSDET Communications Director   Lifelong learner. Born and bred in #Detroit #Chicago #APhiA	http://twitter.com/jeremy_1988
KJZZlambert	851357748	Retired Host of Morning Edition in Phoenix. Husband--Wife Pam is a retired school teacher Children--Matt and Niki Grandchildren--Braylon, Camryn, Cora and Macy.	http://twitter.com/KJZZlambert
taytays291	3232015835	1D is my lifemy worldmy everything	http://twitter.com/taytays291
nicoleradziwill	15433622	#asd Author/Professor (https://t.co/A2KtmlQ0Bj) & ASQ Influential Voice (https://t.co/1P2OFeXEJR), #rstats Data Science, Cyber-Physical Systems guru #VR #AR	http://twitter.com/nicoleradziwill
SaintMyFault	1269982525	First time getting drunk was at a golf course involving Zima. Co-Co host of a sports talk radio program. New Orleans Saints fan. Berhard Langer and I are tight.	http://twitter.com/SaintMyFault
whith23	83093232	I believe in the church of baseball.	http://twitter.com/whith23
irregulara	1135581	Creative Technologist/iOS Design+Publishing/Interactive Cinema/journalism / @ofmfest and some other things.	http://twitter.com/irregulara
TashK__	216013118	🇹🇿❤️	http://twitter.com/TashK__
elliemenke	109433185	artist   griever   lover   believer	http://twitter.com/elliemenke
LizMAdetiba	1040611560	Just a white-winged journalist on the edge of twenty-two. Bylines @HuffPostPol @blackyouthproj @sbnation. Come for my thoughts on politics, stay for the rest.	http://twitter.com/LizMAdetiba
SDSantos619	841081518	Seeker of truth, love, and life! Always keep reaching for your dreams, but don't forget to enjoy life along the way! One Love!	http://twitter.com/SDSantos619
Lucky12Duck	75308256	Worried about National Debt and direction U.S. is heading..	http://twitter.com/Lucky12Duck
TheDenanProject	1123165303	A nonprofit organization working to provide free medical care, potable water, and other critical services for impoverished communities.	http://twitter.com/TheDenanProject
Sempervive	247484209	Co-host of @WONF4W Live: M-F 3-4p ET/Sunday 6-8p ET ~ Listen via @SportsByline, @TuneIn, @IHeart, @Stitcher, American Forces, CRN & SiriusXM93 (SXM is Sun only)	http://twitter.com/Sempervive
randarbie1	43913912	Former military wife and brat, I love God and Jesus Christ, emergency response, Houston Texans football, TX A&M, my family, travelling, and anything Texas!	http://twitter.com/randarbie1
AnthonyPaynee	2197850600	⭐️⭐️⭐️   2016 & 2015 1st Team All State DE   Kansas State Football Commit   #BlueGreyFootball All-American   https://t.co/vDfpyjLZE2	http://twitter.com/AnthonyPaynee
alexanderbruz	499154896	Proud patriot. Real Estate broker. Entrepreneur. Philanthropist.	http://twitter.com/alexanderbruz
50PlusatWork	296846007	Exciting future for the #workforce: we explore possible & likely outcomes. On FB: https://t.co/nrSvFdXmKz	http://twitter.com/50PlusatWork
lutvonline	138135907	LUTV is the higher education cable channel for St. Charles County at @LindenwoodU. Tip about a story? Email lutvnews@lindenwood.edu #lutvnews #SuperSemester	http://twitter.com/lutvonline
returnonmeeting	2794738465	We bring better team preparation to your business meetings. Today's connected workplace brings a better #returnonmeetings.	http://twitter.com/returnonmeeting
FWWIllinois	1470530701	Food & Water Watch Illinois works to ensure the food, water and fish we consume is safe, accessible and sustainably produced.	http://twitter.com/FWWIllinois
eajene	9529472	tech, innovation, finance, strategy, social impact   africa(/nigeria) focused   vision+execution at https://t.co/RhAAUxVoco   @umich jd/mba   DMs open - say hi	http://twitter.com/eajene
ButterflyLandAZ	747556315	Butterfly Wonderland: America's largest atrium, is coming to Scottsdale, Arizona.  We  tweet pics, facts and fun stuff about butterflies.	http://twitter.com/ButterflyLandAZ
K_TRO	31950444	Nature lover, marketer and artist wannabe.	http://twitter.com/K_TRO
LeatherWorksMN	407503078	https://t.co/mIIXFvMVAw	http://twitter.com/LeatherWorksMN
anita_oh	80871637	Journalist @CBSPhilly • Taco enthusiast • Chasing truth • ✉️: oh@cbs3.com • IG: anita_oh	http://twitter.com/anita_oh
FinlanderAdam	1049262318	Husband, Father, Engineer, Poker Player and Vegas Regular.	http://twitter.com/FinlanderAdam
bernyoung	270318622	Breakfast Presenter 91.7 ABC Gold Coast .. all views are my own etc	http://twitter.com/bernyoung
WayneNichols12	1586562001	Redskins, Terps, Wizards, Yankees, Caps, Nationals, DC United - Football all the time!	http://twitter.com/WayneNichols12
aroundtownkids	83889164	Kids Events and Activities & Summer Camps in DFW and Collin County (Allen, Frisco, Plano & McKinney). Parenting Articles, Coupons and Contests and much more!	http://twitter.com/aroundtownkids
hoodfamousBS	2893241185	We are a small bakery with a big heart (and appetite!) for unique Filipino sweets in Seattle. Home of Chera's OG Hood Famous Ube Cheesecake.	http://twitter.com/hoodfamousBS
CMartin88	17346499	I mostly retweet stuff i like or find funny to substitute for not having a personality	http://twitter.com/CMartin88
TheCronkiteFile	4020659732	ASU Student Produced Broadcast, Walter Cronkite School of Journalism   Contact: thecronkitefile@gmail.com	http://twitter.com/TheCronkiteFile
RunofHope	37869571	Join us for the Annual Run of Hope Seattle to raise funds and awareness for pediatric brain #cancer research @seattlechildren. Your support gives a child hope ♥	http://twitter.com/RunofHope
robin3107	2398556816	Daughter, wife, mother, grandmother. Love my Pacific NW, love my Seahawks - never a fair weather fan since 1976!!	http://twitter.com/robin3107
Det13Maria	250282209	Welcome to Muppet Labs, where the future is being made today! Oh, and I love my Jeep!! #BuildingStrong #MAGA #BasketOfDeplorables List = Blocked	http://twitter.com/Det13Maria
BookVideoClub	3084719541	Summarizing business books on a handmade sketchnote video format.  Save time and get key insights of the best books in 5 minutes. Latest: http://t.co/3lhCrfLygi	http://twitter.com/BookVideoClub
RoyalsGirlKC	3179939946	Love my Royals!	http://twitter.com/RoyalsGirlKC
promosportwd	22370468	Sports Hip Hop Blogger Activist Born and Bred In NYC	http://twitter.com/promosportwd
mkotadiya	134389926	I believe that Without faith in ourselves we can never have faith in another; to have faith in another is to have faith in ourselves.	http://twitter.com/mkotadiya
WikipediaForex	324476990	http://t.co/AhcUjhGF Wikipedia Forex Daily Review Expert Advisor Indicator Strategy Signal Review	http://twitter.com/WikipediaForex
hsmatrx	215769661	UCLA Student. Wouldn't mind some sleep right now.	http://twitter.com/hsmatrx
tom_may	18214320	I write about creative projects for @creativebloq @prophotomag @imaginefx @computerarts @netmag Why not tell me about yours? journo.tommay@gmail.com	http://twitter.com/tom_may
mchlspada4a	1491059911	Charlotte, NC. / Romanista	http://twitter.com/mchlspada4a
DAvjgreeno	774291225419677696	Every child is an artist. The problem is how to remain an artist once we grow up.	http://twitter.com/DAvjgreeno
ReWalk_Robotics	63202034	Fundamentally changing the Quality of Life for individuals with lower limb disability through the creation & development of market-leading robotic technologies.	http://twitter.com/ReWalk_Robotics
PeterFieldsNY	1418815518	Entertainment Attorney and Partner at Ritholtz Levy Sanders Chidekel & Fields.	http://twitter.com/PeterFieldsNY
broadwingkid	768322043930640384	ptsd patient and advocate. minor in everything, major in bullshit. 99% time spent in writing, painting, carving. aka psych ward cowboy	http://twitter.com/broadwingkid
donbrownbus	454841002	DON BROWN BUS SALES Contact: (855) 546-6060	http://twitter.com/donbrownbus
sadmemess	231963189	Living like Larry	http://twitter.com/sadmemess
Judeevansglos	614655841	@LittleLeaps Childcare owner, caring for little ones for 25 yrs .mum to 2 kids.loves good food, wine, Glos City Football ,Glos Rugby, holidays,hotels & politics	http://twitter.com/Judeevansglos
NOLACourtesan	1618629949	Professional companion and Escort in New Orleans - https://t.co/8iOiwiTPxD Amazon Wishlist: https://t.co/PnzF9VdBWM	http://twitter.com/NOLACourtesan
FinaFAM	484632577	Marketing coordinator at OneHealthPort. #MCDM graduate @CommLead. Danish native Seattleite. Adventure-enthusiast. Tweets are my own.	http://twitter.com/FinaFAM
THOMASSEMPER	84688743	Stand Up Comedian / Former radio guy at: WMMR WSHE WZTA WBGG WFBQ WHBO WHPT WBLU WKLQ WBCN using the names TOM ROBINSON  TOM VANDAM and THE T	http://twitter.com/THOMASSEMPER
CraigPo88	1040831088	Hello World	http://twitter.com/CraigPo88
brochae63	1949681174	lover of Jesus, Julie, Cherish and family and friends. I devote my life to the Lord's will.	http://twitter.com/brochae63
SolutionCoach	18254256	(970)541-1099 Business Coach, Executive Life Coach, speaker, father, husband. Want more from your small business? http://t.co/q8cqNd8iyb	http://twitter.com/SolutionCoach
SoflaSceneMag	220804754	Think South Florida... YEP! we got it covered ! that's what we'll like!  Contact Us NOW!	http://twitter.com/SoflaSceneMag
turnbullr67	1519940762	Lieutenant, U.S.N. (Ret), Mensan, Polymath, Gamer, MMA fan. Author of Thinning The Herd. My next novel All Your States Are Belong To Us is coming soon #PDX	http://twitter.com/turnbullr67
MaRLeY_GEEE	121902391	freelance graphic designer.. flyer designs for $75 DM me for more info.. Cruel Committee Mastermind.. Whatrudoin founding member #whatrudoin #crcmte	http://twitter.com/MaRLeY_GEEE
PaulRohmeyer	410082141	Associate Industry Professor - School of Business. Stevens Institute of Technology. Information Security Research & Consulting	http://twitter.com/PaulRohmeyer
GlenshireHomes	1372582124	Dedicated to getting information out to our residents.	http://twitter.com/GlenshireHomes
TonyG5003	20209618	Real Estate, SEO & Online Marketing excite me! Broker/Owner, The RealFX Group - Seattle, WA & Austin, TX.	http://twitter.com/TonyG5003
Msjournalist	15230646	Journalist. 2016 finalist for Spotlight Investigative Journalism Fellowship/Boston Globe, contributor to Chgo Tribune, Washington Post, breast cancer survivor	http://twitter.com/Msjournalist
love99Sebastian	262050888	http://t.co/wuhCbfBXNH http://t.co/Gf25tFyr7t http://t.co/mpZAuHEqxz	http://twitter.com/love99Sebastian
DIYonYouTube	372272244	The Official Twitter page of DIY Channel on YouTube. Watch all types of #DIY videos. Please subscribe to this DIY Channel on #YouTube https://t.co/cCGj9dcp2I	http://twitter.com/DIYonYouTube
BenefitPerqs	3195568507	Independent #Insurance Agency serving individuals, families & small businesses. Insurance Options to Benefit YOU. #STL #MO #SmallBiz	http://twitter.com/BenefitPerqs
serenbe	66372030	Residential community w/ @serenbefarms, 3 restaurants, Inn at Serenbe, shops, cultural events, great people. #nature #wellbeing #community #healthy #sustainable	http://twitter.com/serenbe
punchingthecore	265495833	Have lived in the Big Lake, MN area the past 44 years. I have a passion for Music, weather and chasing storms...	http://twitter.com/punchingthecore
SkinnyMeRH	2177664212	The Carolina's Premier Medical Weight Loss Clinics & Check out our blog: https://t.co/WejZRXGZaY	http://twitter.com/SkinnyMeRH
CorruptClinton	458909659	Bill Clinton was impeached and lied as President. 'Depends on what the meaning of the word 'is, is' #BillClinton #tcot  #ClintonCorruption	http://twitter.com/CorruptClinton
abfrantz	29796777	is a journalism educator who still has hope for the field's future.	http://twitter.com/abfrantz
amberuby	61337107	My favorite place is where the sun meets the sea.	http://twitter.com/amberuby
fredwilson	1000591	I am a VC	http://twitter.com/fredwilson
CharleySings	33257401	. . .✌🏼Nashville's favorite daughter✌🏼️. . . Instagram: @charleywoodsmusic . . . . . . . Half The Girl out NOW! https://t.co/bcXqr9QqqA	http://twitter.com/CharleySings
Gigisuarez25	299961034	❤️❤️	http://twitter.com/Gigisuarez25
bdluna	19957142	Front End Developer musing on life.	http://twitter.com/bdluna
rbrown715	553863468	Retired Cabinetmaker , USN Veteran , A Voter ,education, disabled, Women's and civil rights advocate.⚓Had a life before twitter but can't remember the password	http://twitter.com/rbrown715
abuckyy	36884246	In a world full of Kardashians, be an Audrey.	http://twitter.com/abuckyy
raplikowski	75110182	I prefer political professional to hack, but either way I do a lot of politics. Married to @aaarf.	http://twitter.com/raplikowski
Mslamonica_74	4320167657	a blessed individual,  loving, loves hugs and kisses,  the best friend and mom one could ever have	http://twitter.com/Mslamonica_74
HighlandParkHis	2249297785	John Finney's War	http://twitter.com/HighlandParkHis
FAHODGSON1	852667620	Smart. Wise. Two words used to describe myself.	http://twitter.com/FAHODGSON1
JoyofDiabetes	19055552	The Joy of Diabetes book is an inspirational diabetic handbook that embraces living and thriving with diabetes. Type 1 Diabetic for 49 years. Diabetes Whisperer	http://twitter.com/JoyofDiabetes
jwillow	18638991	Equal parts luck, skill and magic	http://twitter.com/jwillow
elderty	144702930	Social Engineer/ Organizer-Mobilizer	http://twitter.com/elderty
SpreebirdOCC	187222508	Screamin Deals for Central & Coast OC. This account is partially automated. Prefer a human? We do too, follow @Spreebird	http://twitter.com/SpreebirdOCC
jarmstrong427	330381797	Producer of Mavs Insider on FoxSportsSW, Terp, Emmy Nominated & PG girl born and raised   Camp Gladiator Trainer   Certified Personal Trainer @_maketimeforfit	http://twitter.com/jarmstrong427
FranchiseExpo	4226617155	America's most comprehensive and informative Franchise Directory	http://twitter.com/FranchiseExpo
faithjineuk	2523277454	Producer,Recording Engineer,  Mix Engineer,, keyboardist,Organist,drummer,Bassist, vidieo editor	http://twitter.com/faithjineuk
pattpatt53	1167480510	Music, Sports, Business, many interests.	http://twitter.com/pattpatt53
goGBT	124027473	Greater Bridgeport Transit - We provide public bus service for people in the Greater Bridgeport, Connecticut, area.	http://twitter.com/goGBT
BreakupMakeover	1912382742	#BreakupMakeover	http://twitter.com/BreakupMakeover
chalden	5484712	Libertarian. Skeptic, Atheist.  Mac PC & Linux user, science geek, independent computer repair/ consulting.	http://twitter.com/chalden
EmmeMagazine	374263866	Emme is an online magazine focusing on beauty, health, fashion, dating, love & advice created by author and journalist @MaryannPisano *FOLLOW YOUR DREAMS*	http://twitter.com/EmmeMagazine
BBogoeva	1229954856	President in Styltex Bulgaria Ltd.  Styltex Bulgaria Ltd. has been actively engaged in trading with textile fabrics, particularly woven material.	http://twitter.com/BBogoeva
kylebennett99	31615827	Nonprofit Fundraising Professional who is passionate about making the State of Rhode Island better for all	http://twitter.com/kylebennett99
KansasWhiskey	204524730	New Whiskey For New Whiskey Drinkers.	http://twitter.com/KansasWhiskey
Steven_Hyden	110345556	Writer: @uproxx. Books: YOUR FAVORITE BAND IS KILLING ME (out now, @littlebrown); TWILIGHT OF THE GODS (2018, @harpercollins). Podcast: @celerockpod.	http://twitter.com/Steven_Hyden
mpslater	16282330	Springsteen Historian-275 shows (Not allowed to name day job-BourbonFan/Cyclist - METS- (Ex)BOE Elected guy-Proud Dad still Growin Up @garyvee fan	http://twitter.com/mpslater
mppatterson23	246411396	Sharing the profound, profane, mysterious, magical and musical. And sometimes cheeky.	http://twitter.com/mppatterson23
TobyBrusseau	71942890	i love watermelon and executing awesome ideas	http://twitter.com/TobyBrusseau
LDEckert	30516193	Born-Again Christian, Pro-Life, Conservative.... Native American, Camping ,Hiking, Animal Lover, Powpows, Adm. Assistant / Retired 2012; Future Entrepreneur,	http://twitter.com/LDEckert
ThePeterAthans	704056734	Keepin' it country on L.I.! #CountryMusic always playing. #ILoveMyCountry 🇺🇸	http://twitter.com/ThePeterAthans
busymom504	1908935778	Busy mom,wife, speaker, business owner.   #networking #referrals #buildingrelationships	http://twitter.com/busymom504
TaraAveilhe	1427633054	PhD in Victorian Literature. Fragrance educator, consultant, and scent-ertainer at THE OLFACTORY.	http://twitter.com/TaraAveilhe
prepsportszone	736212665014571009	Changing the way high school sports is covered.	http://twitter.com/prepsportszone
anniemacbetty	34808055	Mom and activist for the love of humanity. If the majority of humanity released all hate, resentment, selfishness and fear, wars would disappear. Laws not war.	http://twitter.com/anniemacbetty
anitakumar01	48581849	White House Correspondent for McClatchy Newspapers. Formerly of the @washingtonpost and @tb_times. akumar@mcclatchydc.com	http://twitter.com/anitakumar01
zippedme	1195661880	Award winning Inventor, Best selling Author, Speaker, Consultant, Publisher and SuperHero	http://twitter.com/zippedme
SteveBrownMD	2658249530	Family physician. Program Director @UAPhxFamilyMed. Professor @UAMedPhx. Co-host @AFPPodcast. Board member @TheAFMRD.  #FMRevolution	http://twitter.com/SteveBrownMD
Gideon1960	1141883462	Trainer, Mentor and Trader	http://twitter.com/Gideon1960
PaulMGreene	454437650	Tenor/Travel & Tourism Industry/PBS & MPR Supporter/Concordia College Alumni Moorhead/English Major/Speech & Drama Minor/Family/Faith	http://twitter.com/PaulMGreene
loristanden	35729554	Owner of Pure Barre Rocky River. Cleveland sports fan. "Not all those who wander are lost." ❤️ IG: lori_michelle22	http://twitter.com/loristanden
Dinobites	20816775	What did she do today that took her so long?	http://twitter.com/Dinobites
MorningMeeting	62858312	Show updates and more here!	http://twitter.com/MorningMeeting
kawula_mikey	1347895387	my name is MR DELORIAN and i love to game and make YouTube videos always to make my subs smile and my motivators are my friends, family and girlfriend.	http://twitter.com/kawula_mikey
TGOATZ9	327409337	#GOD #Family #country #unionstrong #Redskins #HTTR  #TheU #pistons #Detroit #Mets #LGM #ARG #FCB #MotownSkins #Redwings #Hockeytown #GVSU #RedskinsTweetTeam	http://twitter.com/TGOATZ9
ShearHomeGroup	1138658696	Keller Williams Capital Partners Realty, Shear Home Group - Helping Real Estate Buyers & Sellers realize their dreams in the greater Columbus Area!	http://twitter.com/ShearHomeGroup
shadowbirddog	528349176	Retired Chief Financial Officer of Corp.-Conservative,freedom loving American & a Vietnam VET. We have to unite & clean up mess that politicians have put us in!	http://twitter.com/shadowbirddog
_daniholmes_	4819348108	what am i doing with my life¿	http://twitter.com/_daniholmes_
Swapadventure	1941129385	#swapadventure is the social recycling company here to reward you for giving back. @swapmoms http://t.co/CBFpRKUtYN Check it out! https://t.co/EZL4g8ZjhG	http://twitter.com/Swapadventure
ChuckVipperman	345702074	Happily married Virginia Tech Graduate. Father of two kids ages 14 & 10. Detroit Tigers fan. Constitutional Libertarian with a legendary lack of patience.	http://twitter.com/ChuckVipperman
Moinlovewithhim	344859135	Love me or love to hate me..... I usually get what I want	http://twitter.com/Moinlovewithhim
ColonialLifePS	2957138716	Public sector market services @ColonialLife, where we preserve and protect America's workers and their families.	http://twitter.com/ColonialLifePS
SONOFYODA	33098595	Warehouse Lead @ Medline Industries	http://twitter.com/SONOFYODA
ltwoodiv	2540476010	#DCLiving ✌️	http://twitter.com/ltwoodiv
oldmanaq	842111569	I would rather have and not need than need and not have,   Money that is!  Packer fan!	http://twitter.com/oldmanaq
SimonLevenson	21715101	We work with investors, individuals, & businesses for all of their Commercial & Residential #RealEstate needs. Backed by @coldwellbnkr #Pittsburgh  #WeCanHelp	http://twitter.com/SimonLevenson
clovermad	52149663	Organic dairy farmer	http://twitter.com/clovermad
76StarBoy	1604042701	Son, Brother, and State Representative for Missouri's 76th District	http://twitter.com/76StarBoy
lizellevv	745751808	Serial Entrepreneur, Startups, Producer, Diversity Advocate. Founder @WomenWhoStartup @EffectivelyLabs. Host @WWStartupRadio. Starting up @RenovateSimply	http://twitter.com/lizellevv
LuskyNDC	1665286428	Founder/CEO of Key Advocacy. Sharing advocacy best practices, developments on politics & the economy, and Brown U & Pittsburgh sports.	http://twitter.com/LuskyNDC
TownCountryAPTS	20150075	Tired of hotel restrictions? We are the #HomeFromHome experience within our south coast luxury properties...the hotel alternative. T: +44 (0) 2380 88 1000	http://twitter.com/TownCountryAPTS
PasadenaFD	1465844287	This is the official Twitter account of the Pasadena Fire Department. To report an emergency, call 911.	http://twitter.com/PasadenaFD
day9tv	96848570	Learn lots.  Don't judge.  Laugh for no reason.  Be nice.  Seek happiness.	http://twitter.com/day9tv
Jomairaa1	599526730	〰 I follow back! 〰Kik: Jomairaa〰Insta: Jomaira1〰SC: jomairaa	http://twitter.com/Jomairaa1
CoryStottlemyer	306512498	City of Missouri City Media Relations Specialist. Movie, food & pop culture lover. My DVR list and Netflix queue could reach the moon and back.	http://twitter.com/CoryStottlemyer
HoustonGoldExch	46384134	WE BUY & SELL GOLD, DIAMONDS, COINS, ROLEX, SILVER, JEWELRY   Custom Design Jewelry   Jewelry & Rolex Watch Repair   HOUSTON TEXAS	http://twitter.com/HoustonGoldExch
emily4families	779472600066060288	Author of #estateplanning for the #blendedfamily, speciality in #parenting #prenups #familybusiness transitions. Featured in #wsj #bloomberg #nytimes	http://twitter.com/emily4families
fstopshere	410454365	Photographer	http://twitter.com/fstopshere
Oriana0214	36607254	@Militarydotcom air war reporter. Formerly @AirForceTimes, @MilitaryTimes. @NatPress fellow. @MiamiUniversity grad. American Ukrainian. #Chiberia is home.[RT≠E]	http://twitter.com/Oriana0214
saopitz	23634877	St. Paul girl, Spanish language lover, traveler, vegetarian, community gardener, nonprofit communicator @PrepareProsper	http://twitter.com/saopitz
jlnavas66	19056505	Lic. Realtor, Financial and Tax Advisor.	http://twitter.com/jlnavas66
BigDawgLLC1	591249400	General Contractor   , Dog Lover , and  Gluten Free!!	http://twitter.com/BigDawgLLC1
hannahczora	2806412454	I honestly just sleep, eat and watch Teenwolf Insta: delilahrose16 - Tumblr: DelilahRose - Snap: Delilah_rose16 Musical.ly: Delilah_rose16	http://twitter.com/hannahczora
MonikaTournaud	357156256	Blogger, YouTuber, Pilates Addict, Entrepreneur, Mommy to Avery, Proud wife to my Prince Charming http://t.co/jNp8MbuACP	http://twitter.com/MonikaTournaud
Read_Robin	519769984	Writing, reading, cooking. Not always in that order. Author of Recipe For Joy (@LoyolaPress, March 2013).	http://twitter.com/Read_Robin
WxManShane	24537027	Personal Twitter account of Shane Smith. Partly sunny with a chance of opinion.	http://twitter.com/WxManShane
PrestonBell16	3297000027	Guitars & Vocals at @OutsideShadows: Jesus Christ is Risen ~~	http://twitter.com/PrestonBell16
MelodyeWillie	1393099100	Wife to Robert, mother to Erin and John, grandmother, sister and aunt. Retired public school principal.	http://twitter.com/MelodyeWillie
RubenVargasJr	86412411	Instagram:  @_marvelous_vargas / Professional Athlete (MMA) I run Marathons, i love to dance, writer and free thinker.	http://twitter.com/RubenVargasJr
NHCruzn	3297895955	Vote for the True Conservative Voice for all Americans - Ted Cruz	http://twitter.com/NHCruzn
BigRegDaCommish	268322818	Commissioner of the 2 Live Stews Madden League and Black & Blue Fantasy Football league.  Big Auburn Fan.  All Atlanta Teams.	http://twitter.com/BigRegDaCommish
TrilogyLiving	2409443130	A provider of senior health and hospitality services. Dedicated to delivering exceptional care, and exceeding our customer’s expectations, every day.	http://twitter.com/TrilogyLiving
stellibelli	23863680	me not of the world, y'know. me live in the world but i'm not of the world - bob marley	http://twitter.com/stellibelli
V_and_A	18807671	The Victoria and Albert Museum is the world's leading museum of art and design.	http://twitter.com/V_and_A
theMomiverse	56458700	#MomOfBoys; Publisher and Editorial Director of online magazine for #Moms; Hiker, skier, fly-fisher, & paleo foodie https://t.co/B94ithLkpy	http://twitter.com/theMomiverse
RebelCraft	707879424	Rebel Craft Rumble is @SCRAPPDX annual craft-off competition  @6:30PM Oct. 15 Hollywood Theater	http://twitter.com/RebelCraft
JanetCabibbo	17592681	Intrapreneur, #healthcare, #healthIT, #physicians, #patients, #pharmacy, #radiology, #genomics, #IoT, #bots, #wearabletech.Tweets are my own.	http://twitter.com/JanetCabibbo
QtpieRollie	26168000	I'm a fly by the seat of your pants kinda girl who loves living in my hometown New Orleans.	http://twitter.com/QtpieRollie
